中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
8.219.87.34,443,8.219.87.34,SG,Singapore,中转,252 ms,63 Mbps,8171 kB/s
47.245.107.174,443,47.245.107.174,SG,Singapore,中转,366 ms,56 Mbps,7195 kB/s
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,251 ms,55 Mbps,7107 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,54 ms,52 Mbps,6695 kB/s
158.101.213.56,443,2a0b:21c0:100a:1b6:0:a0cd:ed9b:3b01,DE,Frankfurt,隧道,117 ms,105 Mbps,13516 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,101 ms,188 Mbps,24166 kB/s
146.70.175.107,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,104 ms,180 Mbps,23040 kB/s
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,251 ms,59 Mbps,7571 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,258 ms,47 Mbps,6079 kB/s
8.219.193.22,443,8.219.193.22,SG,Singapore,中转,309 ms,56 Mbps,7199 kB/s
8.217.239.116,443,8.217.239.116,HK,Hong Kong,中转,198 ms,40 Mbps,5141 kB/s
129.227.139.137,443,129.227.139.137,HK,Hong Kong,中转,212 ms,1 Mbps,136 kB/s
8.210.117.18,443,8.210.117.18,HK,Hong Kong,中转,202 ms,82 Mbps,10547 kB/s
146.70.175.174,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,106 ms,168 Mbps,21504 kB/s
8.219.156.148,443,8.219.156.148,SG,Singapore,中转,334 ms,48 Mbps,6219 kB/s
8.219.175.127,443,8.219.175.127,SG,Singapore,中转,394 ms,48 Mbps,6225 kB/s
138.2.114.58,443,138.2.114.58,KR,Hong Kong,中转,175 ms,34 Mbps,4421 kB/s
8.219.103.57,443,8.219.103.57,SG,Singapore,中转,254 ms,53 Mbps,6842 kB/s
8.219.73.21,443,8.219.73.21,SG,Singapore,中转,312 ms,48 Mbps,6179 kB/s
8.219.228.186,443,8.219.228.186,SG,Singapore,中转,404 ms,47 Mbps,6127 kB/s
140.238.28.86,443,140.238.28.86,KR,Hong Kong,中转,178 ms,83 Mbps,10649 kB/s
130.162.160.233,443,2a0b:21c0:1007:1c7:0:849e:d463:5a4f,DE,Frankfurt,隧道,107 ms,160 Mbps,20582 kB/s
8.222.219.34,443,8.222.219.34,SG,Singapore,中转,251 ms,52 Mbps,6735 kB/s
146.70.169.116,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,101 ms,197 Mbps,25292 kB/s
8.222.249.98,443,8.222.249.98,SG,Singapore,中转,344 ms,53 Mbps,6857 kB/s
146.70.175.167,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,101 ms,194 Mbps,24883 kB/s
8.222.224.17,443,8.222.224.17,SG,Singapore,中转,250 ms,55 Mbps,7097 kB/s
8.219.106.15,443,8.219.106.15,SG,Singapore,中转,254 ms,63 Mbps,8109 kB/s
8.222.226.15,443,8.222.226.15,SG,Singapore,中转,252 ms,64 Mbps,8225 kB/s
129.151.152.254,443,129.151.152.254,AE,Amsterdam,中转,219 ms,23 Mbps,3011 kB/s
